id,psgc,type,name
1340598021,,4,Puruganan
1340598022,,4,Root
1340598023,,4,Sagpatan
1340598024,,4,Saludares
1340598025,,4,San Esteban
1340598026,,4,San Francisco
1340598027,,4,San Marcelino
1340598028,,4,San Marcos
1340598029,,4,Sulquiano
1340598030,,4,Suyo
1340598031,,4,Ver
1340599000,,3,Dumalneg
1340599001,,4,Dumalneg
1340600000,,3,Laoag City
1340600001,,4,"Bgy. No. 1, San Lorenzo"
1340600002,,4,"Bgy. No. 10, San Jose"
1340600003,,4,"Bgy. No. 11, Santa Balbina"
1340600004,,4,"Bgy. No. 12, San Isidro"
1340600005,,4,"Bgy. No. 13, Nstra. Sra. De Visitaci"
1340600006,,4,"Bgy. No. 14, Santo Tomas"
1340600007,,4,"Bgy. No. 15, San Guillermo"
1340600008,,4,"Bgy. No. 16, San Jacinto"
1340600009,,4,"Bgy. No. 17, San Francisco"
1340600010,,4,"Bgy. No. 19, Santa Marcela"
1340600011,,4,"Bgy. No. 2, Santa Joaquina"
1340600012,,4,"Bgy. No. 20, San Miguel"
1340600013,,4,"Bgy. No. 21, San Pedro"
1340600014,,4,"Bgy. No. 22, San Andres"
1340600015,,4,"Bgy. No. 23, San Matias"
1340600016,,4,"Bgy. No. 24, Nstra. Sra. De Consolac"
1340600017,,4,"Bgy. No. 25, Santa Cayetana"
1340600018,,4,"Bgy. No. 26, San Marcelino"
1340600019,,4,"Bgy. No. 27, Nstra. Sra. de Soledad"
1340600020,,4,"Bgy. No. 28, San Bernardo"
1340600021,,4,"Bgy. No. 29, Santo Tomas"
1340600022,,4,"Bgy. No. 3, Nstra. Sra. Del Rosario"
1340600023,,4,"Bgy. No. 30-A, Suyo"
1340600024,,4,"Bgy. No. 30-B, Santa Maria"
1340600025,,4,"Bgy. No. 31, Talingaan"
1340600026,,4,"Bgy. No. 32-A, La Paz East"
1340600027,,4,"Bgy. No. 32-B, La Paz West"
1340600028,,4,Bgy. No. 32-C La Paz East
1340600029,,4,"Bgy. No. 33-A, La Paz Proper"
1340600030,,4,"Bgy. No. 33-B, La Paz Proper"
1340600031,,4,"Bgy. No. 34-A, Gabu Norte West"
1340600032,,4,"Bgy. No. 34-B, Gabu Norte East"
1340600033,,4,"Bgy. No. 35, Gabu Sur"
1340600034,,4,"Bgy. No. 36, Araniw"
1340600035,,4,"Bgy. No. 37, Calayab"
1340600036,,4,"Bgy. No. 38-A, Mangato East"
1340600037,,4,"Bgy. No. 38-B, Mangato West"
1340600038,,4,"Bgy. No. 39, Santa Rosa"
1340600039,,4,"Bgy. No. 4, San Guillermo"
1340600040,,4,"Bgy. No. 40, Balatong"
1340600041,,4,"Bgy. No. 41, Balacad"
1340600042,,4,"Bgy. No. 42, Apaya"
1340600043,,4,"Bgy. No. 43, Cavit"
1340600044,,4,"Bgy. No. 44, Zamboanga"
1340600045,,4,"Bgy. No. 45, Tangid"
1340600046,,4,"Bgy. No. 46, Nalbo"
1340600047,,4,"Bgy. No. 47, Bengcag"
1340600048,,4,"Bgy. No. 48-B, Cabungaan South"
1340600049,,4,"Bgy. No. 49-A, Darayday"
1340600050,,4,"Bgy. No. 49-B, Raraburan"
1340600051,,4,"Bgy. No. 5, San Pedro"
1340600052,,4,"Bgy. No. 50, Buttong"
1340600053,,4,"Bgy. No. 51-A, Nangalisan East"
1340600054,,4,"Bgy. No. 51-B, Nangalisan West"
1340600055,,4,"Bgy. No. 52-A, San Mateo"
1340600056,,4,"Bgy. No. 52-B, Lataag"
1340600057,,4,"Bgy. No. 53, Rioeng"
1340600058,,4,"Bgy. No. 54-A, Lagui-Sail"
1340600059,,4,"Bgy. No. 54-B, Camangaan"
1340600060,,4,"Bgy. No. 55-A, Barit-Pandan"
1340600061,,4,"Bgy. No. 55-B, Salet-Bulangon"
1340600062,,4,"Bgy. No. 55-C, Vira"
